date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:55	14/14	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Nov%202021%2013:06:58%20GMT	https://zepeto.me/robots.txt		(from )
22:06:55	7090/7090	---MCZ	200	added ('OK')	text/html	etag:W/%221bb2-17a99a7d0b7%22	https://zepeto.me/	C:/My%20Web%20Sites/zepeto/zepeto.me/index.html	(from )
22:06:55	129037/129037	---MCZ	200	added ('OK')	text/css	etag:W/%221f80d-17955ba7805%22	https://zepeto.me/css/zepetome.css	C:/My%20Web%20Sites/zepeto/zepeto.me/css/zepetome.css	(from https://zepeto.me/)
22:06:55	111902/111902	---M--	200	added ('OK')	image/png	etag:W/%221b51e-17955b4f3dd%22	https://zepeto.me/img/og_zepeto.png	C:/My%20Web%20Sites/zepeto/zepeto.me/img/og_zepeto.png	(from https://zepeto.me/)
22:06:55	156/156	---M--	302	error ('Found')	text/html	date:Thu,%2025%20Nov%202021%2013:06:59%20GMT	https://zepeto.me/terms	C:/My%20Web%20Sites/zepeto/zepeto.me/terms	(from https://zepeto.me/)
22:06:56	7975891/7975891	---M--	200	added ('OK')	video/mp4	etag:W/%2279b3d3-17955ba8683%22	https://zepeto.me/video/zepeto-video-new.mp4	C:/My%20Web%20Sites/zepeto/zepeto.me/video/zepeto-video-new.mp4	(from https://zepeto.me/)
22:06:56	156/156	---M--	302	error ('Found')	text/html	date:Thu,%2025%20Nov%202021%2013:06:59%20GMT	https://zepeto.me/terms	C:/My%20Web%20Sites/zepeto/zepeto.me/terms	(from https://zepeto.me/)
22:06:56	156/156	---M--	302	error ('Found')	text/html	date:Thu,%2025%20Nov%202021%2013:06:59%20GMT	https://zepeto.me/privacy	C:/My%20Web%20Sites/zepeto/zepeto.me/privacy	(from https://zepeto.me/)
22:06:56	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217b8b-17955b4f3f3%22	https://zepeto.me/js/jquery-1.12.4.min.js	C:/My%20Web%20Sites/zepeto/zepeto.me/js/jquery-1.12.4.min.js	(from https://zepeto.me/)
22:06:57	2815/2815	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aff-17955b4f3f3%22	https://zepeto.me/js/zepeto.js	C:/My%20Web%20Sites/zepeto/zepeto.me/js/zepeto.js	(from https://zepeto.me/)
22:06:57	7005/7005	---MCZ	200	added ('OK')	text/html	etag:W/%221b5d-17a99a7d0b8%22	https://zepeto.me/?language=ko	C:/My%20Web%20Sites/zepeto/zepeto.me/index2fd1.html	(from https://zepeto.me/)
22:06:57	7090/7090	---MCZ	200	added ('OK')	text/html	etag:W/%221bb2-17a99a7d0b7%22	https://zepeto.me/?language=en	C:/My%20Web%20Sites/zepeto/zepeto.me/index07a0.html	(from https://zepeto.me/)
22:06:57	4383664/4383664	---MCZ	200	added ('OK')	font/otf	etag:W/%2242e3b0-17955b4e93d%22	https://zepeto.me/font/NotoSansKR-Thin.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Thin.otf	(from https://zepeto.me/css/zepetome.css)
22:06:57	2885820/2885820	---M--	200	added ('OK')	font/woff2	etag:W/%222c08bc-17955b7cb8e%22	https://zepeto.me/font/NotoSansKR-Thin.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Thin.woff2	(from https://zepeto.me/css/zepetome.css)
22:06:57	3382164/3382164	---M--	200	added ('OK')	font/woff	etag:W/%22339b94-17955b4e952%22	https://zepeto.me/font/NotoSansKR-Thin.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Thin.woff	(from https://zepeto.me/css/zepetome.css)
22:06:57	23346/23346	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b32-17955b7d1a4%22	https://zepeto.me/font/notosanskr_light.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_light.eot	(from https://zepeto.me/css/zepetome.css)
22:06:58	7113/7113	---MCZ	200	added ('OK')	text/html	etag:W/%221bc9-17a99a68db3%22	https://zepeto.me/?language=ja	C:/My%20Web%20Sites/zepeto/zepeto.me/index3012.html	(from https://zepeto.me/)
22:06:58	23346/23346	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b32-17955ba84b9%22	https://zepeto.me/font/notosanskr_light.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_lightd41d.eot	(from https://zepeto.me/css/zepetome.css)
22:06:58	4713884/4713884	---MCZ	200	added ('OK')	font/otf	etag:W/%2247ed9c-17955b7c9f2%22	https://zepeto.me/font/NotoSansKR-Light.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Light.otf	(from https://zepeto.me/css/zepetome.css)
22:06:58	3188984/3188984	---M--	200	added ('OK')	font/woff2	etag:W/%2230a8f8-17955b7ca2e%22	https://zepeto.me/font/NotoSansKR-Light.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Light.woff2	(from https://zepeto.me/css/zepetome.css)
22:06:58	3714228/3714228	---M--	200	added ('OK')	font/woff	etag:W/%2238acb4-17955b7ca17%22	https://zepeto.me/font/NotoSansKR-Light.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Light.woff	(from https://zepeto.me/css/zepetome.css)
22:06:59	2652/2652	---M--	200	added ('OK')	font/ttf	etag:W/%22a5c-17955b7d1a4%22	https://zepeto.me/font/notosanskr_light.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_light.ttf	(from https://zepeto.me/css/zepetome.css)
22:06:59	7090/7090	---MCZ	200	added ('OK')	text/html	etag:W/%221bb2-17a99a72cf3%22	https://zepeto.me/?language=zh	C:/My%20Web%20Sites/zepeto/zepeto.me/indexfae8.html	(from https://zepeto.me/)
22:06:59	23454/23454	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b9e-17955b7d1a7%22	https://zepeto.me/font/notosanskr_regular.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_regular.eot	(from https://zepeto.me/css/zepetome.css)
